ID,Date / Time,Country,City,State,Shape,Summary,lat,lng,Date,Time
1646,8/29/16 20:25,USA,Portland,OR,Sphere,"These spheres are white like electic and appear about 8:25 pm for weeks now 
they stay stationary for up to 4 to 5 minutes than descend",45.5202471,-122.6741948,08/29/16,20:25
1893,08/12/2016 22:30,USA,Portland,OR,Light,Satellite not what it appears to be.,45.5202471,-122.6741948,08/12/2016,22:30
1978,08/09/2016 23:00,USA,Portland,OR,Other,"Orbiting object flares, separate flash appears, then object disappears.",45.5202471,-122.6741948,08/09/2016,23:00
2086,08/02/2016 11:15,USA,Portland,OR,Light,"Sitting on my porch with my significant other and saw a light appear from 
the sky and come down stay for a second and then go back up t",45.5202471,-122.6741948,08/02/2016,11:15
2326,7/24/16 15:00,USA,Portland,OR,Other,Dark grey box floating in the air near PDX airport.,45.5202471,-122.6741948,07/24/16,15:00
2481,7/14/16 21:30,USA,Portland,OR,Other,Fireball.,45.5202471,-122.6741948,07/14/16,21:30
2843,6/24/16 15:30,USA,Portland,ME,Other,Cylindrical object disappeared in clear skies.,43.6610277,-70.2548595,06/24/16,15:30
3096,06/03/2016 23:50,USA,Portland,OR,Circle,"((HOAX?? DATE IS FLAWED)) Faster then anything I've ever seen ((anonymous 
report))",45.5202471,-122.6741948,06/03/2016,23:50
3119,06/02/2016 22:45,USA,Portland,OR,Triangle,"3 bright dots and 3 bright lines nearly connecting them-outlining a perfect 
triangle floating still and bright, high in the S sky.",45.5202471,-122.6741948,06/02/2016,22:45
3328,5/15/16 22:53,USA,Portland,OR,Other,"Huge oval object with flashing colored lights and buzzing noise appeared 
outside my house.",45.5202471,-122.6741948,05/15/16,22:53
3357,5/14/16 00:00,USA,Portland,OR,Other,"Large flashes of light in N.E, Portland.",45.5202471,-122.6741948,05/14/16,00:00
3426,05/07/2016 10:00,USA,Portland,OR,Other,"((HOAX??)) Crafts flying over Portland. Orange light from bottom. Seemed to 
be two, one higher than the other. ((anonymous report))",45.5202471,-122.6741948,05/07/2016,10:00
3738,04/09/2016 22:30,USA,Portland,OR,Sphere,"6-10 slow moving, orange orbs or spheres",45.5202471,-122.6741948,04/09/2016,22:30
3755,04/08/2016 21:45,USA,Portland,OR,Circle,Slow moving orange lights.,45.5202471,-122.6741948,04/08/2016,21:45
3814,04/02/2016 22:19,USA,Portland,OR,Other,"Glowing orange object (like a burning plane) disappears/fades away, doesn't 
fall to earth.",45.5202471,-122.6741948,04/02/2016,22:19
3835,04/01/2016 20:55,USA,Portland,OR,Light,Multiple sightings of bright white orbs that sometimes flashed brightly.,45.5202471,-122.6741948,04/01/2016,20:55
3842,04/01/2016 19:58,USA,Portland,OR,Other,"I was standing in my backyard when I saw 3 dark objects in a triangle shape 
heading in a southerly direction.",45.5202471,-122.6741948,04/01/2016,19:58
3843,04/01/2016 19:58,USA,Portland,OR,Other,"I saw what look like 3 objects at a very high altitude flying in a 
southeasterly direction. There was no sound and no lights. They mov",45.5202471,-122.6741948,04/01/2016,19:58
3861,3/31/16 02:00,USA,Portland,OR,Light,"Went on a bike ride with my headphones in, was almost home i looked left 
casually and looked in the sky. I saw a VERY WHITE bright ligh",45.5202471,-122.6741948,03/31/16,02:00
4059,3/14/16 02:30,USA,Portland,OR,Other,While standing in my back yard I was watching the dark clouds coming in.,45.5202471,-122.6741948,03/14/16,02:30
